UniProtAC;Localization;CNN;;;;;;;;;;;;;;;;;;;;Fully Connected;;;;;;;;;;;;;;;Final;;;;;;;;;
;;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Plasma1;Plasma2;Plasma3;Plasma4;Plasma5;Other1;Other2;Other3;Other4;Other5;Apical1;Apical2;Apical3;Apical4;Apical5;Basolateral1;Basolateral2;Basolateral3;Basolateral4;Basolateral5;Other1;Other2;Other3;Other4;Other5;Binary1;Binary2;Binary3;Binary4;Binary5;Ternary1;Ternary2;Ternary3;Ternary4;Ternary5
G7N6X5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
G7N6Z4;Basolateral;-;-;-;-;train;train;train;validation;train;train;-;train;-;-;train;train;-;train;validation;-;train;validation;-;-;train;validation;train;train;validation;train;train;-;-;-;-;train;validation;-;train;train;train;validation;train;-;validation
G7N6Z6;Apical;train;train;-;train;train;-;-;train;-;-;-;-;-;-;validation;-;train;-;train;-;-;train;-;validation;train;-;-;validation;-;-;train;-;-;-;-;-;-;-;-;train;train;-;-;validation;validation
G7N7Q0;Plasma;-;-;-;-;train;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-
G7N8H6;Basolateral;train;train;-;train;-;validation;train;train;train;train;train;-;-;-;-;-;-;-;-;-;-;validation;-;-;train;train;-;-;train;train;-;-;-;-;-;-;-;train;-;validation;train;train;train;-;train
G7N952;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7N9Z1;Apical;train;train;-;train;validation;-;-;-;-;-;-;-;validation;-;-;-;train;validation;-;-;validation;-;validation;-;train;-;-;-;train;train;-;-;train;-;-;validation;-;train;-;train;-;train;train;-;-
G7NAS0;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
G7NBZ0;Plasma;-;train;train;-;train;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-
G7NCF4;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;validation;-;-;-;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation
G7NDY2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NEJ2;Other;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;train;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NEN1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NFA9;Plasma;-;-;-;-;-;-;-;-;validation;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NGZ1;Other;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NHE1;Plasma;train;validation;-;-;-;-;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;train;train;-;-;-;-;-;validation;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
G7NIU0;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NKI6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NML4;Plasma;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NMY2;Plasma;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;validation;-;-;-;validation;-;validation;-;-;-;-;-;train;-;-;train;-
G7NPE6;Other;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
G7NPT4;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation
G7NR93;Plasma;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;train;-;-;train;-
G7NRT3;Plasma;-;train;-;-;-;train;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
G7NS08;Plasma;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;train;-;-
G7NSA2;Other;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train
G8F1D4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
G8F1F3;Apical;train;train;train;validation;train;-;-;train;-;-;-;-;-;-;-;-;validation;-;-;train;-;-;train;train;train;-;train;-;-;-;-;-;-;-;-;-;-;-;validation;train;-;-;-;train;-
H2N9P4;Apical;-;train;-;-;-;-;train;-;train;-;validation;-;-;-;train;-;-;-;-;train;train;train;train;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;train;train;-;-;-;validation;train
H2NA15;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
H2NA23;Plasma;-;-;-;-;-;train;train;-;-;-;train;-;-;train;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;train
H2NAE7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NAJ1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NAL3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NAM6;Plasma;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;train;validation;-;-
H2NAW9;Other;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NAY8;Plasma;-;-;-;-;-;-;-;-;-;-;validation;train;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;validation;train;-;-;-;-;-;-;-;-;-;-
H2NB14;Other;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NB99;Apical;-;validation;-;-;-;-;-;-;train;train;-;-;train;-;-;train;-;train;train;-;train;train;train;train;-;-;-;train;-;-;-;-;train;-;-;validation;-;-;validation;train;train;validation;train;-;-
H2NBA2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NBB2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NBE7;Other;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NBH0;Basolateral;-;-;-;-;-;-;train;validation;train;validation;-;-;-;-;-;-;-;-;-;-;train;train;-;-;train;train;train;-;-;train;-;train;-;train;train;validation;-;train;train;train;train;train;train;train;train
H2NBR2;Other;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NC05;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;validation;validation;-;-;-;-;-;-;-;-;-;-;-
H2NC98;Other;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NCA7;Apical;-;train;train;train;train;train;-;-;-;-;-;train;-;-;-;-;train;-;-;train;-;train;train;train;train;train;train;-;train;-;train;validation;-;validation;-;train;-;validation;validation;-;-;-;train;train;-
H2NCC1;Other;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
H2NCE9;Plasma;-;-;train;-;-;-;-;-;-;-;validation;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NCI1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NCJ5;Apical;-;-;train;validation;-;-;train;-;-;-;-;validation;-;-;train;-;train;-;-;train;train;train;validation;-;train;train;-;-;-;-;-;-;train;validation;-;validation;train;-;train;validation;-;-;-;validation;-
H2NCK7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NCP8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NCX8;Apical;train;train;-;-;train;-;-;train;-;-;-;-;-;-;-;train;-;-;train;-;train;-;train;-;train;train;-;-;-;-;-;-;-;train;train;train;validation;-;train;train;train;-;-;-;validation
H2NCS1;Plasma;train;-;-;-;-;-;-;-;train;-;-;-;-;-;-;validation;-;-;train;-;-;-;-;-;validation;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2ND21;Plasma;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2ND26;Basolateral;-;-;-;-;-;train;train;train;train;train;train;-;validation;-;-;-;-;-;-;-;validation;-;train;validation;train;train;-;train;train;train;-;validation;validation;-;-;train;-;train;train;train;train;-;-;train;-
H2ND31;Basolateral;-;-;-;-;-;-;train;-;train;train;-;-;-;train;-;train;-;train;-;-;train;train;train;-;-;-;-;validation;train;-;train;train;-;-;-;-;validation;train;train;train;validation;-;train;train;-
H2ND70;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2ND92;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
H2ND93;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NDG3;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;train;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NDL9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NDN2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NDV2;Apical;-;train;train;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;train;train;train;train;train;-;-;-;-;train;-;-;train;-;-;train;train;-;-;train;train;train
H2NDW1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NDX0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NDX3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NE64;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NEP8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NEP9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NEQ8;Other;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NEV6;Plasma;-;-;-;-;train;-;-;-;-;-;validation;train;-;-;train;-;-;-;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;train;-;-
H2NFF9;Basolateral;-;-;-;-;-;train;train;validation;train;train;-;-;-;train;validation;-;-;train;-;validation;-;-;train;-;-;validation;train;validation;train;train;train;-;train;-;train;train;-;train;-;train;-;validation;train;train;train
H2NFI6;Apical;-;-;validation;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;train;train;-;-;-;train;-;train;-;-;-;-;-;-;validation;-;train;-;train;-;-;train;validation;-;validation
H2NFJ8;Other;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train
H2NFK6;Basolateral;-;-;-;-;train;train;train;train;train;-;-;-;-;train;-;-;train;-;validation;-;-;-;-;-;-;train;train;train;train;validation;-;-;validation;-;-;train;train;train;train;train;train;-;train;validation;train
H2NFK7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NFK8;Apical;train;train;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;validation;-;validation;validation;train;-;-;-;train;-;-;-;-;-;validation;train;train;train;train;-;validation;train;train;-;-
H2NFW2;Basolateral;-;train;-;-;validation;train;train;validation;train;train;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;train;validation;train;train;train;-;train;-;-;-;train;-;train;train;-;train;-;train;train;-
H2NG64;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train
H2NG69;Apical;train;-;train;-;train;-;train;-;-;-;-;-;-;-;train;-;-;-;train;validation;train;validation;-;-;train;-;-;-;train;validation;-;validation;train;-;-;train;-;validation;-;-;train;-;train;train;-
H2NG78;Apical;train;train;train;train;train;-;train;-;-;-;train;-;train;-;-;-;-;train;-;-;-;train;-;train;train;train;-;train;-;-;-;-;train;-;-;validation;-;train;train;-;-;train;-;-;train
H2NG98;Plasma;train;-;-;-;-;-;-;-;-;-;-;train;-;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NGA7;Plasma;-;-;-;-;-;-;train;-;-;-;train;train;validation;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NGG1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NGQ5;Apical;train;-;train;-;validation;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;train;train;-;-;-;train;validation;-;-;-;-;-;train;train;-;-;-;-;train;train;-
H2NGS2;Basolateral;-;-;-;-;train;validation;train;validation;train;validation;-;-;-;train;-;-;validation;-;-;-;-;-;train;train;train;train;train;-;-;validation;train;-;-;-;train;train;train;validation;-;train;validation;train;-;-;train
H2NGS3;Basolateral;train;-;-;train;-;train;train;train;-;-;-;-;-;-;-;-;-;-;train;-;-;train;validation;validation;-;-;validation;train;-;train;-;train;-;train;validation;train;validation;train;train;train;train;train;train;train;train
H2NGT5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NGU1;Plasma;-;-;-;-;-;-;train;-;-;-;-;train;train;-;validation;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NGU6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NGY6;Other;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NH88;Apical;validation;-;-;-;train;-;-;-;-;validation;-;validation;-;-;-;-;-;-;train;-;-;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;train;-;train;train;-;train;validation
H2NH89;Apical;-;validation;-;train;train;-;train;-;-;-;train;-;-;-;train;-;-;validation;train;train;-;-;train;-;-;-;-;-;-;-;train;-;-;train;train;validation;train;-;-;train;-;train;train;train;train
H2NH96;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NHA8;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NHM7;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NHN4;Plasma;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NHS5;Basolateral;-;-;-;-;-;train;-;train;train;train;train;train;train;train;-;-;-;-;-;-;train;validation;train;train;train;validation;train;train;train;train;train;-;train;-;-;-;train;train;train;train;-;validation;-;train;train
H2NHV1;Other;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NI37;Plasma;-;-;-;-;-;-;-;-;-;-;train;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;train;-;-;-;-;-;-;-;-;-;-;train
H2NI51;Plasma;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NI76;Basolateral;-;-;-;train;-;validation;train;train;-;-;-;train;-;-;-;-;train;train;-;-;validation;-;-;train;train;train;-;train;train;-;train;-;-;-;train;train;train;-;-;validation;train;train;train;train;train
H2NI81;Basolateral;validation;-;-;-;train;-;train;validation;train;validation;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;train;validation;validation;-;-;-;train;-;validation;validation;train;train;train;train;train;train;validation;train;-
H2NIE0;Apical;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;train;train;train;-;-;-;-;train;-;-;-;-;-;train;-;train;-;train;train;-;train;-;train
H2NIH6;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NII9;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-
H2NIK3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-
H2NIV4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NIW4;Plasma;-;-;-;-;train;-;-;-;-;train;-;-;-;train;-;-;-;train;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
H2NIW8;Other;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NIZ2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJ35;Other;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJ43;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJ53;Plasma;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;train;train;-
H2NJ76;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJD5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;validation;-
H2NJG3;Other;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-
H2NJP3;Plasma;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;train;-;-;-;-;-;-;train;-;-;-
H2NJS0;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJX1;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NJZ9;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;train;-;-;-;train;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;train;-
H2NK00;Plasma;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-
H2NK53;Plasma;train;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;train;-;-;validation;-;-;-;-;-;-;train;-;validation;train;-
H2NK71;Apical;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;validation;-;train;train;-;-;-;-;-;-;-;-;train;-;-;train;-;train;train;-;-;-
H2NK75;Other;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-
H2NKB4;Other;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NKD9;Basolateral;-;-;-;-;-;validation;validation;-;train;train;-;-;train;-;train;-;-;train;-;-;-;-;-;-;-;train;train;train;train;train;validation;-;train;validation;train;train;train;-;validation;-;-;train;train;-;train
H2NKF4;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NL64;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NLB5;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;-;-;-;-;-;-;train;-;train;-;-;-;-;-;-;-;-;-;-
H2NLD2;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-
H2NLE3;Other;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;train;-;-;-;-;-;validation;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
